Name,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joel Anthony,,,NBA,,490,110,14.4,0.8,1.6,.513,0.0,0.0,,0.8,1.6,.513,.513,0.5,0.8,.662,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2
Pero Antic,,,NBA,,113,29,17.4,2.0,5.2,.392,1.0,3.0,.314,1.1,2.2,.500,.483,1.2,1.7,.730,1.0,2.5,3.5,0.9,0.3,0.2,0.9,2.3,6.3
OG Anunoby,,,NBA,,94,65,20.2,2.5,5.3,.466,1.0,2.9,.352,1.4,2.4,.605,.563,0.5,0.8,.570,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.9,6.4
Keith Appling,,,NBA,,5,0,5.4,0.4,1.6,.250,0.0,0.6,.000,0.4,1.0,.400,.250,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2
Rafael Araujo,,,NBA,,139,75,11.4,1.1,2.8,.405,0.0,0.0,.250,1.1,2.7,.407,.406,0.5,0.8,.679,0.9,1.9,2.8,0.3,0.4,0.1,0.8,2.2,2.8
Stacey Arceneaux,,,NBA,,7,,15.7,3.1,8.0,.393,,,,,,,,0.9,1.9,.462,4.6,0.6,1.4,7.1
Robert Archibald,,,NBA,,44,3,7.5,0.3,1.2,.283,0.0,0.0,,0.3,1.2,.283,.283,0.5,1.1,.429,0.6,1.0,1.6,0.4,0.3,0.1,0.4,1.3,1.2
Tiny Archibald,,,NBA,,876,268,35.6,6.7,14.4,.467,0.1,0.3,.224,6.7,14.3,.469,.468,5.3,6.6,.810,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8
Ryan Arcidiacono,,,NBA,,48,13,20.6,1.7,3.8,.437,1.1,2.8,.386,0.6,1.1,.569,.577,0.5,0.6,.815,0.1,1.7,1.8,2.6,0.8,0.0,0.8,1.7,4.9
Jim Ard,,,TOT,,431,,13.4,1.7,4.3,.402,0.0,0.1,.235,1.7,4.3,.404,.403,0.9,1.4,.662,1.3,2.9,4.3,0.6,0.2,0.5,1.3,1.7,4.4
Gilbert Arenas,,,NBA,,552,455,35.1,6.7,16.0,.421,2.0,5.6,.351,4.8,10.5,.458,.482,5.2,6.5,.803,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3.0,20.7
Trevor Ariza,,,NBA,,965,664,29.6,3.8,8.9,.423,1.4,4.0,.353,2.4,4.9,.480,.502,1.6,2.2,.725,1.0,3.8,4.8,2.1,1.5,0.3,1.4,2.0,10.5
Paul Arizin,,,NBA,,713,,38.4,7.9,18.7,.421,,,,,,,,7.0,8.7,.810,8.6,2.3,3.9,22.8
Joe Arlauckas,,,NBA,,9,0,9.4,1.6,4.8,.326,0.0,0.0,,1.6,4.8,.326,.326,0.7,0.9,.750,0.7,0.8,1.4,0.9,0.3,0.4,0.4,1.8,3.8
B.J. Armstrong,,,NBA,,747,341,23.8,3.8,8.0,.477,0.6,1.4,.425,3.2,6.6,.487,.513,1.6,1.9,.856,0.3,1.5,1.8,3.3,0.7,0.1,1.2,1.5,9.8
Bob Armstrong,,,NBA,,19,,5.8,0.6,1.9,.297,,,,,,,,0.3,0.6,.500,2.1,0.2,0.7,1.5
Brandon Armstrong,,,NBA,,108,0,6.5,0.9,2.7,.352,0.2,0.7,.333,0.7,2.0,.358,.395,0.1,0.2,.600,0.2,0.4,0.6,0.2,0.2,0.0,0.3,0.8,2.2
Curly Armstrong,,,TOT,,153,,,2.3,7.7,.295,,,,,,,,2.3,3.3,.692,2.3,2.3,3.0,6.8,,,NBA,,101
Darrell Armstrong,,,NBA,,840,337,23.7,3.2,7.7,.409,1.1,3.3,.334,2.1,4.5,.465,.480,1.7,2.0,.871,0.8,1.9,2.7,4.0,1.3,0.1,1.9,1.7,9.2
Hilton Armstrong,,,NBA,,292,40,11.6,1.2,2.4,.501,0.0,0.0,.286,1.2,2.3,.503,.502,0.6,1.1,.582,1.0,1.6,2.6,0.3,0.3,0.5,0.8,1.9,3.0
Tate Armstrong,,,NBA,,92,,10.6,1.7,3.8,.454,,,,,,,,0.3,0.4,.800,0.3,0.6,1.0,1.1,0.4,0.0,0.9,0.7,3.8
